A01,S01,S02
0.26,214.0,214.0
0.26,214.0,214.0
0.26,214.0,214.0
0.26,214.0,214.0
0.0,214.0,214.0
0.0,214.0,214.0
0.0,214.0,214.0
0.26,214.0,214.0
0.53,214.0,214.0
0.26,214.0,214.0
0.0,213.0,214.0
0.0,214.0,214.0
0.26,214.0,214.0
0.0,214.0,214.0
0.26,214.0,214.0
0.26,213.0,214.0
0.0,214.0,214.0
0.0,213.0,214.0
0.26,214.0,214.0
0.26,214.0,214.0
0.53,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.0,213.0,214.0
0.0,213.0,214.0
0.26,213.0,214.0
0.0,213.0,214.0
0.26,213.0,214.0
0.26,212.0,213.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,213.0,214.0
0.26,212.0,214.0
0.0,212.0,214.0
0.0,212.0,214.0
0.26,213.0,214.0
0.26,212.0,214.0
0.0,213.0,214.0
0.0,213.0,214.0
0.26,212.0,214.0
0.0,212.0,213.0
0.0,212.0,213.0
0.26,212.0,214.0
0.0,212.0,213.0
0.26,212.0,213.0
0.26,212.0,214.0
0.26,212.0,213.0
0.26,212.0,213.0
0.26,212.0,213.0
0.26,212.0,214.0
0.53,212.0,213.0
0.0,212.0,213.0
0.26,212.0,213.0
0.0,211.0,213.0
0.26,212.0,214.0
0.26,211.0,213.0
0.0,212.0,213.0
0.26,211.0,213.0
0.0,212.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,212.0,213.0
0.0,212.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.0,211.0,213.0
0.26,211.0,213.0
0.26,211.0,214.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.0,211.0,213.0
0.0,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.0,211.0,213.0
0.0,211.0,213.0
0.53,211.0,213.0
0.0,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.0,211.0,213.0
0.0,210.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.0,211.0,213.0
0.26,210.0,213.0
0.26,211.0,213.0
0.26,211.0,213.0
0.26,210.0,212.0
0.26,210.0,213.0
0.0,211.0,213.0
0.26,211.0,213.0
0.26,210.0,213.0
0.0,211.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,211.0,213.0
0.26,210.0,213.0
0.26,211.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
